	id	pSentiment
205	"4998_9"	1
206	"2795_7"	1
207	"5280_8"	1
208	"1537_1"	0
209	"2342_1"	0
210	"725_2"	0
211	"5516_3"	0
212	"1816_1"	0
213	"4682_4"	0
214	"225_9"	1
215	"3209_1"	0
216	"12245_10"	1
217	"2729_4"	0
218	"3407_2"	0
219	"9985_1"	0
220	"10091_1"	0
221	"454_4"	0
222	"12135_10"	1
223	"11269_1"	0
224	"8520_8"	1
225	"3617_2"	0
226	"3974_8"	1
227	"4364_1"	0
228	"7260_10"	1
229	"9973_4"	0
230	"10851_2"	0
231	"12259_7"	1
232	"1305_10"	1
233	"9277_1"	0
234	"7828_10"	1
235	"8611_3"	0
236	"1171_4"	0
237	"4118_10"	1
238	"2365_3"	0
239	"8514_1"	0
240	"6921_1"	0
241	"5290_3"	0
242	"10942_2"	0
243	"937_1"	0
244	"2950_10"	1
245	"1012_10"	1
246	"4379_8"	1
247	"802_10"	1
248	"9842_1"	0
249	"9309_9"	1
250	"2290_10"	1
251	"5610_7"	1
252	"463_4"	0
253	"4753_10"	1
254	"9239_2"	0
255	"8671_7"	1
256	"8645_1"	0
257	"9440_8"	1
258	"6064_3"	0
259	"3391_3"	0
260	"3028_1"	0
261	"9338_3"	0
262	"6166_1"	0
263	"104_3"	0
264	"8551_4"	0
265	"7293_10"	1
266	"3060_1"	0
267	"4625_10"	1
268	"10004_8"	1
269	"11391_8"	1
270	"12368_3"	0
271	"9098_10"	1
272	"10836_10"	1
273	"8931_4"	0
274	"7730_7"	1
275	"4543_7"	1
276	"7679_4"	0
277	"3749_1"	0
278	"9144_1"	0
279	"4104_9"	1
280	"1794_7"	1
281	"10838_1"	0
282	"5086_7"	1
283	"12130_4"	0
284	"8790_1"	0
285	"365_1"	0
286	"12456_3"	0
287	"4340_2"	0
288	"11753_10"	1
289	"7325_1"	0
290	"5647_10"	1
291	"477_4"	0
292	"8824_8"	1
293	"4684_1"	0
294	"10301_8"	1
295	"11667_1"	0
296	"5112_9"	1
297	"6723_10"	1
298	"5766_1"	0
299	"1583_8"	1
300	"3293_10"	1
301	"1376_1"	0
302	"12003_4"	0
303	"11228_10"	1
304	"580_3"	0
305	"6209_8"	1
306	"1407_7"	1
307	"4923_7"	1
308	"8613_7"	1
309	"9998_9"	1
310	"8391_1"	0
311	"8791_1"	0
312	"8495_8"	1
313	"7450_9"	1
314	"8135_2"	0
315	"4451_9"	1
316	"3210_3"	0
317	"3759_1"	0
318	"724_10"	1
319	"7881_9"	1
320	"60_4"	0
321	"418_4"	0
322	"5157_1"	0
323	"4031_10"	1
324	"4106_4"	0
325	"5251_7"	1
326	"6645_1"	0
327	"6478_10"	1
328	"1066_10"	1
329	"12274_3"	0
330	"5424_1"	0
331	"3861_10"	1
332	"11095_7"	1
333	"9457_1"	0
334	"422_7"	1
335	"4648_9"	1
336	"10289_1"	0
337	"4565_8"	1
338	"10073_4"	0
339	"4954_2"	0
340	"7573_9"	1
341	"11315_4"	0
342	"8655_1"	0
343	"5345_9"	1
344	"1789_3"	0
345	"5123_2"	0
346	"11698_3"	0
347	"1267_7"	1
348	"5320_2"	0
349	"2500_1"	0
350	"9552_8"	1
351	"9223_9"	1
352	"7481_1"	0
353	"11420_9"	1
354	"9845_3"	0
355	"6662_1"	0
356	"11924_10"	1
357	"3906_10"	1
358	"6725_9"	1
359	"5775_3"	0
360	"827_4"	0
361	"11821_2"	0
362	"2985_4"	0
363	"6591_3"	0
364	"8878_4"	0
365	"6648_1"	0
366	"3141_10"	1
367	"1937_2"	0
368	"4759_2"	0
369	"7271_7"	1
370	"5100_4"	0
371	"4969_7"	1
372	"6537_1"	0
373	"253_7"	1
374	"6762_9"	1
375	"5162_9"	1
376	"11508_1"	0
377	"8075_1"	0
378	"544_8"	1
379	"6505_10"	1
380	"4170_1"	0
381	"6866_1"	0
382	"7970_10"	1
383	"1189_4"	0
384	"9867_1"	0
385	"9844_1"	0
386	"12336_3"	0
387	"1038_7"	1
388	"12058_4"	0
389	"2509_9"	1
390	"11799_8"	1
391	"7071_9"	1
392	"291_3"	0
393	"1472_1"	0
394	"4916_9"	1
395	"11700_10"	1
396	"10119_2"	0
397	"3974_4"	0
398	"10154_1"	0
399	"8778_3"	0
400	"5844_8"	1
401	"4225_10"	1
402	"2277_4"	0
403	"1253_10"	1
404	"469_7"	1
405	"7591_8"	1
406	"6955_10"	1
407	"9885_4"	0
408	"8305_3"	0
409	"4208_10"	1
410	"9731_8"	1
411	"2490_8"	1
412	"8381_8"	1
413	"961_1"	0
414	"11643_2"	0
415	"11574_10"	1
416	"11764_3"	0
417	"6763_8"	1
418	"6844_1"	0
419	"6178_3"	0
420	"10320_2"	0
421	"10006_4"	0
422	"8377_1"	0
423	"1757_8"	1
424	"2425_4"	0
425	"424_8"	1
426	"6885_1"	0
427	"9635_3"	0
428	"8370_10"	1
429	"8169_4"	0
430	"11769_1"	0
431	"1283_1"	0
432	"2951_8"	1
433	"4217_9"	1
434	"4507_3"	0
435	"10264_4"	0
436	"4513_8"	1
437	"8758_4"	0
438	"7399_10"	1
439	"9855_2"	0
440	"12417_10"	1
441	"2816_7"	1
442	"2124_10"	1
443	"9682_10"	1
444	"2460_1"	0
445	"10142_2"	0
446	"51_1"	0
447	"4852_8"	1
448	"1598_8"	1
449	"1495_9"	1
450	"1592_3"	0
451	"9114_1"	0
452	"5054_1"	0
453	"6961_2"	0
454	"10297_3"	0
455	"7957_10"	1
456	"4109_10"	1
457	"7328_2"	0
458	"4134_7"	1
459	"7627_10"	1
460	"4653_10"	1
461	"3044_1"	0
462	"669_7"	1
463	"6721_10"	1
464	"5735_2"	0
465	"6815_8"	1
466	"4623_4"	0
467	"5363_1"	0
468	"8855_10"	1
469	"3876_8"	1
470	"7103_1"	0
471	"697_2"	0
472	"6512_7"	1
473	"7292_10"	1
474	"3346_2"	0
475	"3628_1"	0
476	"9402_7"	1
477	"11759_10"	1
478	"5048_2"	0
479	"5341_10"	1
480	"3792_8"	1
481	"9113_4"	0
482	"11098_1"	0
483	"6537_7"	1
484	"11361_10"	1
485	"4992_4"	0
486	"160_9"	1
487	"1664_4"	0
488	"4847_1"	0
489	"5259_9"	1
490	"11832_7"	1
491	"11111_9"	1
492	"4818_9"	1
493	"3972_7"	1
494	"9907_4"	0
495	"11456_10"	1
496	"654_10"	1
497	"988_1"	0
498	"7290_3"	0
499	"10104_1"	0
500	"5371_3"	0
501	"8102_1"	0
502	"10914_8"	1
503	"2366_7"	1
504	"6383_3"	0
505	"6635_10"	1
506	"2907_4"	0
507	"4941_10"	1
508	"10692_4"	0
509	"10150_3"	0
510	"4750_7"	1
511	"8912_10"	1
512	"1116_9"	1
513	"8361_4"	0
514	"6487_1"	0
515	"11318_1"	0
516	"6908_2"	0
517	"952_3"	0
518	"1615_8"	1
519	"12158_3"	0
520	"2504_10"	1
521	"1201_8"	1
522	"12062_10"	1
523	"7129_10"	1
524	"2138_4"	0
525	"6252_10"	1
526	"1883_7"	1
527	"10828_1"	0
528	"7349_7"	1
529	"2044_1"	0
530	"605_8"	1
531	"972_9"	1
532	"4953_8"	1
533	"4528_3"	0
534	"2223_3"	0
535	"692_8"	1
536	"5313_7"	1
537	"3259_7"	1
538	"3628_8"	1
539	"4374_10"	1
540	"3678_8"	1
541	"2268_1"	0
542	"3043_8"	1
543	"2163_4"	0
544	"12172_3"	0
545	"11715_7"	1
546	"5809_10"	1
547	"7481_10"	1
548	"8031_1"	0
549	"211_4"	0
550	"6530_8"	1
551	"8476_1"	0
552	"11278_1"	0
553	"11950_8"	1
554	"3178_4"	0
555	"8299_1"	0
556	"757_8"	1
557	"10448_1"	0
558	"8454_3"	0
559	"4250_8"	1
560	"6804_7"	1
561	"7207_7"	1
562	"11097_9"	1
563	"10001_4"	0
564	"12481_8"	1
565	"3847_4"	0
566	"9033_4"	0
567	"9695_1"	0
568	"7934_3"	0
569	"1846_8"	1
570	"11444_10"	1
571	"3790_1"	0
572	"2901_7"	1
573	"1131_7"	1
574	"4046_1"	0
575	"5172_9"	1
576	"298_8"	1
577	"11499_1"	0
578	"8758_10"	1
579	"2646_10"	1
580	"4000_10"	1
581	"3248_10"	1
582	"4266_7"	1
583	"9167_7"	1
584	"3377_2"	0
585	"12246_9"	1
586	"7224_3"	0
587	"6299_1"	0
588	"8534_3"	0
589	"11641_1"	0
590	"3401_8"	1
591	"7505_9"	1
592	"10693_4"	0
593	"9979_1"	0
594	"391_8"	1
595	"2621_4"	0
596	"1686_10"	1
597	"7564_1"	0
598	"6434_7"	1
599	"859_1"	0
600	"487_8"	1
601	"7894_10"	1
602	"11960_8"	1
603	"7252_4"	0
604	"7332_7"	1
605	"8622_1"	0
606	"7635_10"	1
607	"11036_8"	1
608	"7589_8"	1
609	"4386_9"	1
610	"11349_4"	0
611	"11666_10"	1
612	"5007_1"	0
613	"3148_4"	0
614	"884_8"	1
615	"12164_1"	0
616	"11250_9"	1
617	"1261_8"	1
618	"10343_3"	0
619	"625_4"	0
620	"5474_9"	1
621	"9160_8"	1
622	"1575_9"	1
623	"3074_1"	0
624	"2639_7"	1
625	"5113_3"	0
626	"5539_3"	0
627	"8350_3"	0
628	"7525_7"	1
629	"5397_9"	1
630	"6005_4"	0
631	"2025_1"	0
632	"3119_4"	0
633	"4276_4"	0
634	"2080_9"	1
635	"2129_4"	0
636	"10409_2"	0
637	"5849_2"	0
638	"9653_9"	1
639	"7260_1"	0
640	"2017_1"	0
641	"1177_1"	0
642	"4025_9"	1
643	"11518_8"	1
644	"9470_8"	1
645	"1174_4"	0
646	"5642_7"	1
647	"3086_1"	0
648	"4706_8"	1
649	"11362_2"	0
650	"8460_2"	0
651	"2559_1"	0
652	"10105_8"	1
653	"12084_3"	0
654	"1113_10"	1
655	"603_1"	0
656	"11980_4"	0
657	"12005_10"	1
658	"1558_1"	0
659	"3212_3"	0
660	"7614_1"	0
661	"1029_3"	0
662	"10768_7"	1
663	"4402_8"	1
664	"8234_7"	1
665	"11423_8"	1
666	"6015_1"	0
667	"11721_1"	0
668	"7550_1"	0
669	"974_4"	0
670	"8779_4"	0
671	"11038_3"	0
672	"8226_8"	1
673	"4420_1"	0
674	"2202_10"	1
675	"6252_1"	0
676	"11155_2"	0
677	"1241_7"	1
678	"10898_7"	1
679	"4828_1"	0
680	"5056_8"	1
681	"700_8"	1
682	"418_9"	1
683	"5403_1"	0
684	"11327_4"	0
685	"10365_1"	0
686	"3578_7"	1
687	"12341_4"	0
688	"11911_10"	1
689	"4532_7"	1
690	"4938_1"	0
691	"1860_9"	1
692	"8639_3"	0
693	"10422_7"	1
694	"4697_7"	1
695	"3291_1"	0
696	"4327_8"	1
697	"7226_8"	1
698	"2170_4"	0
699	"7388_1"	0
700	"9184_10"	1
701	"783_1"	0
702	"5750_8"	1
703	"11473_4"	0
704	"11767_8"	1
705	"4158_10"	1
706	"5785_4"	0
707	"9087_1"	0
708	"11063_10"	1
709	"11194_10"	1
710	"1925_9"	1
711	"5710_1"	0
712	"3162_8"	1
713	"2263_10"	1
714	"4644_10"	1
715	"12346_10"	1
716	"4573_10"	1
717	"5395_1"	0
718	"5467_2"	0
719	"2222_4"	0
720	"9629_8"	1
721	"11982_7"	1
722	"4638_10"	1
723	"2481_1"	0
724	"10868_8"	1
725	"3688_8"	1
726	"2965_2"	0
727	"996_9"	1
728	"5600_8"	1
729	"4124_8"	1
730	"7351_2"	0
731	"6949_1"	0
732	"6405_7"	1
733	"4626_4"	0
734	"4919_7"	1
735	"5933_7"	1
736	"1220_9"	1
737	"2187_2"	0
738	"4209_7"	1
739	"6094_1"	0
740	"3580_4"	0
741	"9793_1"	0
742	"9384_4"	0
743	"6244_1"	0
744	"7735_1"	0
745	"382_10"	1
746	"8787_8"	1
747	"3195_10"	1
748	"4485_10"	1
749	"7356_10"	1
750	"3796_1"	0
751	"8773_8"	1
752	"465_1"	0
753	"1962_2"	0
754	"8722_1"	0
755	"6174_2"	0
756	"6157_2"	0
757	"10829_10"	1
758	"10999_1"	0
759	"10476_1"	0
760	"6556_3"	0
761	"11837_2"	0
762	"7213_3"	0
763	"344_8"	1
764	"11822_4"	0
765	"11088_7"	1
766	"1134_2"	0
767	"8075_8"	1
768	"7980_3"	0
769	"8462_9"	1
770	"5842_1"	0
771	"4254_2"	0
772	"7994_9"	1
773	"3801_8"	1
774	"2015_2"	0
775	"10394_3"	0
776	"12295_3"	0
777	"9580_3"	0
778	"6819_8"	1
779	"7214_7"	1
780	"3910_2"	0
781	"3229_3"	0
782	"4962_1"	0
783	"10165_3"	0
784	"8693_10"	1
785	"3418_10"	1
786	"11920_3"	0
787	"2158_10"	1
788	"4035_10"	1
789	"7563_1"	0
790	"6280_7"	1
791	"6676_9"	1
792	"782_9"	1
793	"3688_2"	0
794	"7734_10"	1
795	"10580_4"	0
796	"3254_3"	0
797	"7067_7"	1
798	"11461_10"	1
799	"9602_10"	1
800	"8549_8"	1
801	"5530_1"	0
802	"1682_7"	1
803	"9947_1"	0
804	"1034_7"	1
805	"7837_10"	1
806	"5462_8"	1
807	"4402_1"	0
808	"10738_4"	0
809	"7948_4"	0
810	"4925_7"	1
811	"9280_1"	0
812	"2212_10"	1
813	"10988_2"	0
814	"5447_4"	0
815	"11587_2"	0
816	"1077_3"	0
817	"5548_7"	1
818	"6111_1"	0
819	"11023_9"	1
820	"12009_3"	0
821	"3855_8"	1
822	"5649_10"	1
823	"4241_2"	0
824	"4519_3"	0
825	"10268_9"	1
826	"227_10"	1
827	"6601_4"	0
828	"9443_4"	0
829	"1781_10"	1
830	"4345_10"	1
831	"6317_10"	1
832	"5134_4"	0
833	"11100_4"	0
834	"4952_1"	0
835	"6416_7"	1
836	"9230_8"	1
837	"742_1"	0
838	"1099_4"	0
839	"452_10"	1
840	"9752_10"	1
841	"5233_4"	0
842	"3511_4"	0
843	"9972_1"	0
844	"3820_8"	1
845	"5461_7"	1
846	"3890_2"	0
847	"4970_3"	0
848	"2847_8"	1
849	"11310_1"	0
850	"2909_10"	1
851	"9562_8"	1
852	"2393_8"	1
853	"10691_7"	1
854	"8947_2"	0
855	"3930_4"	0
856	"7259_7"	1
857	"5093_10"	1
858	"3421_4"	0
859	"11655_3"	0
860	"189_9"	1
861	"1161_1"	0
862	"2412_1"	0
863	"5583_8"	1
864	"4887_2"	0
865	"7586_10"	1
866	"3318_3"	0
867	"6308_1"	0
868	"6037_10"	1
869	"2926_8"	1
870	"8775_3"	0
871	"4863_10"	1
872	"8036_8"	1
873	"4870_10"	1
874	"10143_1"	0
875	"960_1"	0
876	"2718_9"	1
877	"7005_4"	0
878	"5741_1"	0
879	"2900_1"	0
880	"1210_1"	0
881	"2774_10"	1
882	"10587_1"	0
883	"5432_2"	0
884	"5009_9"	1
885	"7671_1"	0
886	"11256_1"	0
887	"7121_10"	1
888	"160_2"	0
889	"162_8"	1
890	"1507_8"	1
891	"8647_7"	1
892	"8633_8"	1
893	"8160_7"	1
894	"8210_7"	1
895	"11864_3"	0
896	"6716_3"	0
897	"10139_4"	0
898	"9117_10"	1
899	"1441_2"	0
900	"157_1"	0
901	"6210_1"	0
902	"3521_9"	1
903	"4060_4"	0
904	"3848_4"	0
905	"546_10"	1
906	"3261_4"	0
907	"3047_7"	1
908	"2517_2"	0
909	"4892_1"	0
910	"2487_10"	1
911	"6379_9"	1
912	"716_1"	0
913	"1181_9"	1
914	"7962_4"	0
915	"5039_3"	0
916	"5532_2"	0
917	"1294_1"	0
918	"2249_7"	1
919	"6900_8"	1
920	"3252_9"	1
921	"536_10"	1
922	"3098_1"	0
923	"1751_2"	0
924	"6785_1"	0
925	"4545_1"	0
926	"9296_4"	0
927	"4858_8"	1
928	"288_10"	1
929	"11286_1"	0
930	"4000_4"	0
931	"1238_7"	1
932	"11067_7"	1
933	"7423_9"	1
934	"6618_8"	1
935	"11859_4"	0
936	"4015_1"	0
937	"11725_10"	1
938	"2541_7"	1
939	"7008_2"	0
940	"1714_1"	0
941	"5485_10"	1
942	"2216_1"	0
943	"10314_4"	0
944	"4408_8"	1
945	"5738_4"	0
946	"3372_3"	0
947	"2207_9"	1
948	"9741_1"	0
949	"10892_7"	1
950	"8583_9"	1
951	"10281_7"	1
952	"10013_1"	0
953	"4463_7"	1
954	"11445_3"	0
955	"11985_10"	1
956	"10666_8"	1
957	"8859_10"	1
958	"2540_2"	0
959	"8388_7"	1
960	"6234_1"	0
961	"7898_10"	1
962	"12192_4"	0
963	"2827_10"	1
964	"7026_7"	1
965	"4410_10"	1
966	"7811_2"	0
967	"3120_8"	1
968	"10092_1"	0
969	"5441_1"	0
970	"1712_9"	1
971	"1907_7"	1
972	"2394_3"	0
973	"8109_2"	0
974	"10040_2"	0
975	"1327_4"	0
976	"11545_8"	1
977	"10747_10"	1
978	"12295_9"	1
979	"4367_4"	0
980	"120_8"	1
981	"3223_3"	0
982	"1098_9"	1
983	"4815_2"	0
984	"1056_3"	0
985	"4588_9"	1
986	"2701_1"	0
987	"3009_8"	1
988	"12318_9"	1
989	"4428_10"	1
990	"4180_3"	0
991	"12200_4"	0
992	"10323_10"	1
993	"839_7"	1
994	"11445_7"	1
995	"472_1"	0
996	"1713_8"	1
997	"723_2"	0
998	"10126_2"	0
999	"11154_2"	0
1000	"8752_2"	0
1001	"10482_1"	0
1002	"2832_8"	1
1003	"599_4"	0
1004	"202_10"	1
1005	"3166_3"	0
1006	"2775_1"	0
1007	"9850_7"	1
1008	"169_8"	1
1009	"1651_10"	1
1010	"5472_7"	1
1011	"8359_8"	1
1012	"3948_9"	1
1013	"4080_10"	1
1014	"12463_4"	0
1015	"3828_3"	0
1016	"3115_8"	1
1017	"7030_4"	0
1018	"1685_1"	0
1019	"1452_8"	1
1020	"4974_2"	0
1021	"8574_4"	0
1022	"1075_1"	0
1023	"4687_8"	1
1024	"2535_2"	0
1025	"9256_1"	0
1026	"10631_1"	0
1027	"1279_9"	1
1028	"3677_3"	0
1029	"1938_9"	1
1030	"2758_1"	0
1031	"8695_3"	0
1032	"7151_2"	0
1033	"9971_10"	1
1034	"2229_1"	0
1035	"5546_4"	0
1036	"6636_3"	0
1037	"2063_8"	1
1038	"5387_8"	1
1039	"7220_7"	1
1040	"9406_2"	0
1041	"5109_10"	1
1042	"11330_8"	1
1043	"5530_8"	1
1044	"2652_10"	1
1045	"8136_9"	1
1046	"710_9"	1
1047	"7737_10"	1
1048	"9204_1"	0
1049	"96_10"	1
1050	"11381_10"	1
1051	"1903_10"	1
1052	"2090_2"	0
1053	"281_1"	0
1054	"8353_3"	0
1055	"65_10"	1
1056	"6255_8"	1
1057	"9145_1"	0
1058	"8736_3"	0
1059	"2372_8"	1
1060	"3414_8"	1
1061	"3609_1"	0
1062	"8163_3"	0
1063	"10043_1"	0
1064	"7349_1"	0
1065	"9071_1"	0
1066	"12428_2"	0
1067	"8059_1"	0
1068	"811_1"	0
1069	"6184_4"	0
1070	"11353_1"	0
1071	"10129_7"	1
1072	"2056_1"	0
1073	"6322_7"	1
1074	"9038_1"	0
1075	"9505_4"	0
1076	"4993_2"	0
1077	"11206_10"	1
1078	"1172_3"	0
1079	"6045_2"	0
1080	"607_10"	1
1081	"4754_10"	1
1082	"9521_3"	0
1083	"11469_10"	1
1084	"5991_1"	0
1085	"7996_2"	0
1086	"11687_10"	1
1087	"9936_4"	0
1088	"1934_9"	1
1089	"11667_9"	1
1090	"10854_10"	1
1091	"2354_10"	1
1092	"5898_4"	0
1093	"8840_3"	0
1094	"12353_1"	0
1095	"1339_9"	1
1096	"3913_1"	0
1097	"9407_8"	1
1098	"668_4"	0
1099	"9626_8"	1
1100	"8465_8"	1
1101	"4914_7"	1
1102	"8153_1"	0
1103	"4302_2"	0
1104	"376_10"	1
1105	"10678_4"	0
1106	"5365_10"	1
1107	"11268_8"	1
1108	"1373_2"	0
1109	"11596_10"	1
1110	"10421_7"	1
1111	"9187_10"	1
1112	"6582_7"	1
1113	"10020_3"	0
1114	"12357_7"	1
1115	"9194_1"	0
1116	"9285_10"	1
1117	"8389_1"	0
1118	"12467_1"	0
1119	"3031_2"	0
1120	"3237_8"	1
1121	"7273_4"	0
1122	"9239_8"	1
1123	"6138_8"	1
1124	"10183_7"	1
1125	"10597_2"	0
1126	"3752_3"	0
1127	"8147_10"	1
1128	"979_8"	1
1129	"879_8"	1
1130	"2741_2"	0
1131	"4153_10"	1
1132	"9617_10"	1
1133	"1112_1"	0
1134	"5499_1"	0
1135	"7304_8"	1
1136	"8331_8"	1
1137	"4725_1"	0
1138	"1452_1"	0
1139	"11624_4"	0
1140	"8275_1"	0
1141	"1195_8"	1
1142	"2414_3"	0
1143	"11420_1"	0
1144	"4940_1"	0
1145	"8646_1"	0
1146	"6548_10"	1
1147	"831_2"	0
1148	"1866_2"	0
1149	"1318_2"	0
1150	"11933_1"	0
1151	"9723_1"	0
1152	"10595_10"	1
1153	"7522_8"	1
1154	"899_7"	1
1155	"1747_2"	0
1156	"1971_1"	0
1157	"9562_4"	0
1158	"3109_4"	0
1159	"5081_4"	0
1160	"10393_9"	1
1161	"11064_7"	1
1162	"9621_8"	1
1163	"3025_7"	1
1164	"1132_4"	0
1165	"9282_8"	1
1166	"2304_1"	0
1167	"10731_1"	0
1168	"4690_2"	0
1169	"10871_4"	0
1170	"146_10"	1
1171	"4867_9"	1
1172	"12156_8"	1
1173	"8492_1"	0
1174	"3887_10"	1
1175	"343_2"	0
1176	"3455_2"	0
1177	"11576_7"	1
1178	"7057_1"	0
1179	"2122_7"	1
1180	"11276_10"	1
1181	"8194_9"	1
1182	"9899_7"	1
1183	"5037_10"	1
1184	"1433_10"	1
1185	"5860_1"	0
1186	"2548_1"	0
1187	"1338_3"	0
1188	"11609_10"	1
1189	"12355_10"	1
1190	"4021_1"	0
1191	"4765_2"	0
1192	"8952_3"	0
1193	"463_7"	1
1194	"11664_9"	1
1195	"7440_1"	0
1196	"9524_3"	0
1197	"2348_3"	0
1198	"11681_1"	0
1199	"7419_1"	0
1200	"10275_3"	0
1201	"9110_8"	1
1202	"1434_10"	1
1203	"8154_10"	1
1204	"10386_4"	0
1205	"3986_1"	0
1206	"717_7"	1
1207	"3030_1"	0
1208	"5140_4"	0
1209	"3400_1"	0
1210	"7296_10"	1
1211	"6474_8"	1
1212	"5020_10"	1
1213	"9260_7"	1
1214	"5836_8"	1
1215	"787_4"	0
1216	"8630_9"	1
1217	"1101_3"	0
1218	"5277_10"	1
1219	"8999_8"	1
1220	"10435_7"	1
1221	"10374_8"	1
1222	"5108_10"	1
1223	"10336_8"	1
1224	"8675_8"	1
1225	"4168_7"	1
1226	"8542_9"	1
1227	"6677_9"	1
1228	"9665_10"	1
1229	"1892_3"	0
1230	"831_9"	1
1231	"4006_4"	0
1232	"11162_4"	0
1233	"7513_9"	1
1234	"8747_3"	0
1235	"11928_8"	1
1236	"5227_10"	1
1237	"5071_1"	0
1238	"7592_9"	1
1239	"9760_4"	0
1240	"8184_7"	1
1241	"5043_7"	1
1242	"7721_4"	0
1243	"8648_1"	0
1244	"10071_9"	1
1245	"9998_4"	0
1246	"2883_1"	0
1247	"4112_1"	0
1248	"1659_7"	1
1249	"12081_8"	1
1250	"8384_7"	1
1251	"6223_7"	1
1252	"10423_9"	1
1253	"2789_7"	1
1254	"1670_8"	1
1255	"10963_7"	1
